# ##############################################################################
# ORIGIN:  
#    Manuel Razo-Mejia, Stephanie L. Barnes, Nathan M. Belliveau, Griffin Chure, 
#       Tal Einav, Mitchell Lewis, and Rob Phillips. "Tuning Transcriptional
#       Regulation Through Signaling: A Predictive Theory of ALlosteric Induction." 
#       *Cell Systems* 2018 **6**(4). DOI: 10.106/j.cels.2018.02.004
#
# NOTES:
#   In this work, the authors report the the repressor count in terms of
#   tetramers, not independent dimers as we have in this work. Please note that the
#   number of repressors per cell must be multiplied by a factor of two to account
#   for the independent heads of the repressor. 
# 
# COLUMN DESCRIPTIONS:
#   date: Date of acquisition
#   username: Identifier of user who collected data
#   operator: Identity of operator sequence
#   binding_energy: DNA binding energy of the wild-type repressor to the
#                   operator sequence, given in units of kBT.
#   rbs: Identifier of the ribosomal binding site used 
#   repressors: Average number of repressor tetramers per cell
#   IPTG_uM: Concentration of IPTG in units of micromolar.
#   mean_YFP_A: Mean YFP intensity (peak area) from the flow cytometry data.
#   mean_YFP_bgcorr_A: Mean YFP intensity (peak area) of background signal.
#   fold_change_A: Fold-change in gene expression
# ##############################################################################
date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
20160804,mrazomej,O2,-13.9,auto,0,0.0,3512.623319662012,0.0,0.0
20160804,mrazomej,O2,-13.9,delta,0,0.0,19164.225850868384,15651.602531206372,1.0
20160804,mrazomej,O2,-13.9,RBS1L,870,0.0,3624.474605219705,111.85128555769371,0.007146315230960097
20160804,mrazomej,O2,-13.9,RBS1,610,0.0,3619.786265383181,107.16294572116932,0.006846771473240929
20160804,mrazomej,O2,-13.9,RBS1027,130,0.0,3717.019527198893,204.3962075368813,0.013059123315286945
20160804,mrazomej,O2,-13.9,RBS446,62,0.0,3854.650584709898,342.02726504788643,0.021852539659498
20160804,mrazomej,O2,-13.9,RBS1147,30,0.0,4169.802850624661,657.1795309626497,0.041988002803697334
20160804,mrazomej,O2,-13.9,HG104,11,0.0,6193.975050835714,2681.3517311737023,0.17131483666465386
20160804,mrazomej,O2,-13.9,auto,0,0.1,3518.4196291641997,0.0,0.0
20160804,mrazomej,O2,-13.9,delta,0,0.1,20587.88567372716,17069.46604456296,1.0
20160804,mrazomej,O2,-13.9,RBS1L,870,0.1,3612.069522153435,93.649892989235,0.005486398505070098
20160804,mrazomej,O2,-13.9,RBS1,610,0.1,3659.787951804359,141.36832264015902,0.008281941700524854
