parameter,mean,median,mode,hpd_min,hpd_max,method,repressors,operator,IPTGuM,pred_bohr
delta_bohr,0.8790827634122952,0.6746661246475332,0.3010065742952066,-0.7728587615180322,3.059570097141834,flow cytometry,22.0,O1,250.0,2.7123777134787623
empirical_bohr,3.810492253507951,3.60700180750981,3.2616321169539635,1.9086833436262256,6.001544014276984,flow cytometry,22.0,O1,500.0,3.102885702819858
fc_mu,0.9674340932541833,0.9735836792222154,0.9630888542330482,0.9169422612218319,0.9999624388516174,flow cytometry,22.0,O1,500.0,3.102885702819858
fc_sigma,0.14081624710413015,0.13697747841433897,0.13438190678003814,0.09032689783433147,0.19720877724234467,flow cytometry,22.0,O1,500.0,3.102885702819858
delta_bohr,0.7076065506880828,0.504116104689952,0.1587464141341055,-1.1942023591936324,2.898658311457126,flow cytometry,22.0,O1,500.0,3.102885702819858
empirical_bohr,4.015837330175598,3.7642176437337582,3.3714581891803737,2.0101997690265536,6.4821136329025375,flow cytometry,22.0,O1,1000.0,3.3316817667489182
fc_mu,0.9711991985992965,0.9773396522068245,0.9668005269215687,0.9221650876851133,0.9999888643755452,flow cytometry,22.0,O1,1000.0,3.3316817667489182
fc_sigma,0.14949442990563017,0.14536483546604145,0.14338573387493794,0.09873409336211934,0.21045903483658457,flow cytometry,22.0,O1,1000.0,3.3316817667489182
delta_bohr,0.6841555634266637,0.43253587698483975,0.039776422431455405,-1.3214819977223646,3.1504318661536193,flow cytometry,22.0,O1,1000.0,3.3316817667489182
empirical_bohr,4.0225634936860475,3.8159624097629834,3.399623274937358,2.026644056264212,6.603055582230909,flow cytometry,22.0,O1,5000.0,3.5359808675089326
fc_mu,0.9709510442308829,0.9784577691187466,0.9676927596390276,0.9186546859750684,0.9999936958576485,flow cytometry,22.0,O1,5000.0,3.5359808675089326
fc_sigma,0.17236809113315743,0.16888901751872332,0.1666030542173228,0.11287161283165575,0.23578032078565297,flow cytometry,22.0,O1,5000.0,3.5359808675089326
delta_bohr,0.48658262617710635,0.2799815422540506,-0.13635759257157476,-1.5093368112447205,3.0670747147219766,flow cytometry,22.0,O1,5000.0,3.5359808675089326
empirical_bohr,-1.6144603819203152,-1.614418395111362,-1.6123853555855754,-1.7041740523631754,-1.5302222760611315,flow cytometry,22.0,O2,0.0,-1.6384278470503997
fc_mu,0.16606192631684358,0.16597608087253762,0.16625770165873666,0.15392089578013246,0.1779611664736287,flow cytometry,22.0,O2,0.0,-1.6384278470503997
fc_sigma,0.01922214556351893,0.018144632445894773,0.016584299299967388,0.010788379627468831,0.029599758265662045,flow cytometry,22.0,O2,0.0,-1.6384278470503997
delta_bohr,0.023967465130084648,0.024009451939037696,0.02604249146482429,-0.06574620531277575,0.1082055709892682,flow cytometry,22.0,O2,0.0,-1.6384278470503997
empirical_bohr,-1.6108586530957805,-1.6105148675098064,-1.610571081865604,-1.6981494571318592,-1.5279447752529045,flow cytometry,22.0,O2,0.1,-1.6339231714157005
fc_mu,0.1665530770477669,0.166517143264095,0.1665093414656066,0.15470711119099634,0.17829458872323656,flow cytometry,22.0,O2,0.1,-1.6339231714157005
fc_sigma,0.019210780520853045,0.018262678736274577,0.01668651664355974,0.011281228556432862,0.02938905167634503,flow cytometry,22.0,O2,0.1,-1.6339231714157005
delta_bohr,0.02306451831991705,0.023408303905894212,0.02335208955009649,-0.06422628571615863,0.10597839616279603,flow cytometry,22.0,O2,0.1,-1.6339231714157005
empirical_bohr,-0.4478041036100756,-0.44556528957783137,-0.4423489037610104,-0.6900086580037604,-0.2160392219889904,flow cytometry,22.0,O2,5.0,-0.8948191086323583
fc_mu,0.39026685991430987,0.3904156740545107,0.39118141505331105,0.3340311472349007,0.44619928506181117,flow cytometry,22.0,O2,5.0,-0.8948191086323583
fc_sigma,0.09348409527850768,0.09002487776289583,0.08418702392296487,0.057642257880549656,0.13662315407138073,flow cytometry,22.0,O2,5.0,-0.8948191086323583
delta_bohr,0.4470150050222819,0.4492538190545269,0.45247020487134787,0.20481045062859782,0.6787798866433679,flow cytometry,22.0,O2,5.0,-0.8948191086323583
empirical_bohr,0.517887598889195,0.5121366092719644,0.5054560228042092,0.15940354624689215,0.8820829695711742,flow cytometry,22.0,O2,10.0,-0.07747982718980495
fc_mu,0.6256543642465064,0.6253072117447003,0.6237406575296082,0.5410748295705365,0.7083639677428949,flow cytometry,22.0,O2,10.0,-0.07747982718980495
fc_sigma,0.1378120134741707,0.13405373268791373,0.12699563516345871,0.09042932154109007,0.19568052802508834,flow cytometry,22.0,O2,10.0,-0.07747982718980495
delta_bohr,0.5953674260790013,0.5896164364617693,0.5829358499940142,0.2368833734366971,0.9595627967609791,flow cytometry,22.0,O2,10.0,-0.07747982718980495
